sr	type	m_sd	u85	o95	range
0.05	Ac	0.886 +/- 0.021	1	1	0.841 - 0.96
0.075	Ac	0.888 +/- 0.013	0	0	0.85 - 0.92
0.1	Ac	0.889 +/- 0.015	0	0	0.856 - 0.92
0.15	Ac	0.895 +/- 0.015	0	0	0.862 - 0.922
0.2	Ac	0.896 +/- 0.016	0	0	0.86 - 0.936
0.25	Ac	0.898 +/- 0.015	0	0	0.864 - 0.928
0.3	Ac	0.897 +/- 0.012	0	0	0.874 - 0.916
0.35	Ac	0.896 +/- 0.014	0	0	0.854 - 0.924
0.4	Ac	0.899 +/- 0.012	0	0	0.87 - 0.92
0.05	MLE	0.885 +/- 0.02	1	1	0.847 - 0.96
0.075	MLE	0.888 +/- 0.013	0	0	0.856 - 0.916
0.1	MLE	0.888 +/- 0.016	0	0	0.858 - 0.92
0.15	MLE	0.895 +/- 0.015	0	0	0.864 - 0.922
0.2	MLE	0.897 +/- 0.015	0	0	0.862 - 0.94
0.25	MLE	0.899 +/- 0.014	0	0	0.864 - 0.93
0.3	MLE	0.897 +/- 0.013	0	0	0.87 - 0.918
0.35	MLE	0.897 +/- 0.015	0	0	0.85 - 0.934
0.4	MLE	0.898 +/- 0.012	0	0	0.874 - 0.92
